parity	weight	herd	milk
1	600	1	22
1	570	1	18
1	580	2	21
1	602	2	23
2	650	1	23
2	600	1	26
2	630	2	22
2	580	2	27
3	690	1	30
3	610	1	25
3	590	2	23
3	640	2	28
1	590	1	20
1	610	1	21
1	590	2	19
1	590	2	20
2	660	1	31
2	640	1	31
2	620	2	20
2	630	2	30
3	660	1	21
3	670	1	31
3	660	2	19
3	660	2	30
1	590	3	21
1	610	3	22
1	610	4	18
1	570	4	19
2	650	3	31
2	620	3	22
2	630	4	27
2	620	4	28
3	670	3	33
3	650	3	32
3	680	4	27
3	650	4	28
1	580	3	22
1	610	3	21
1	600	4	19
1	620	4	17
2	630	3	21
2	660	3	21
2	630	4	29
2	620	4	29
3	660	3	31
3	650	3	32
3	650	4	27
3	660	4	27
1	620	5	23
1	600	5	24
1	620	6	16
1	600	6	17
2	660	5	23
2	620	5	23
2	650	6	26
2	630	6	17
3	660	5	34
3	640	5	34
3	680	6	26
3	680	6	26
1	590	5	23
1	600	5	24
1	580	6	16
1	590	6	17
2	650	5	33
2	630	5	24
2	640	6	27
2	650	6	16
3	660	5	34
3	640	5	33
3	650	6	27
3	630	6	26
