treatment,breed,matr,birth_weight,age_beginning,sex,weight_jul_ 08,weight_agoust_08,weight_agoust_31,weight_sept_29,weight_october_28,slaughtering_weight
fieno + conc.,brogna,26157,2.5,112,F,19,20,22,25,25,25.2
fieno + conc.,brogna,26158,2.8,107,M,23.2,25.5,27,32,32.5,32.6
fieno + conc.,brogna,26159,2.3,106,F,14.4,15,17,19,18.5,18.4
fieno + conc.,brogna,26163,3.55,93,M,16.8,17.5,19,22.5,23,23.2
fieno + conc.,foza,26167,3.3,76,M,20.8,20.5,24,26.5,27.5,27.2
fieno + conc.,foza,26170,4.2,73,F,14.8,17,19,21.5,22,21.6
fieno + conc.,foza,26173,5.6,71,F,23.4,24.5,27,30.5,31,32.2
fieno + conc.,alpagota,68318,4,139,M,23.4,24,26,32,36,36.4
fieno + conc.,alpagota,68373,3.5,132,F,23.8,24,25,27,28,28.4
fieno + conc.,foza,68387,5,128,M,28,30.5,35.5,40,40,39.8
fieno + conc.,alpagota,70901,3,126,M,19,19,20.5,22,23,23
fieno + conc.,alpagota,70907,2.8,128,F,17.4,18,20,21.5,22,22
fieno + conc. + CLA,brogna,26161,3.9,102,M,19.2,21.5,24,26.5,27,27.8
fieno + conc. + CLA,brogna,26162,3.9,97,M,23.4,24.5,27,28.5,29.5,30.2
fieno + conc. + CLA,foza,26166,4.5,82,F,24.4,28,30,33,33,32.8
fieno + conc. + CLA,brogna,26174,1.95,72,F,9,9,10,10.5,11.5,11
fieno + conc. + CLA,foza,26176,4,67,F,17.8,20,23,26.5,26.5,26.4
fieno + conc. + CLA,brogna,26179,4.55,64,F,15,16.5,18,21,21.5,21.2
fieno + conc. + CLA,foza,68321,4.5,142,M,30.6,33,39,44,46,47
fieno + conc. + CLA,alpagota,68340,3,137,F,18.2,20,22.5,26,27,27.6
fieno + conc. + CLA,foza,70875,5.4,108,M,21,22,23.5,26,26,26.2
fieno + conc. + CLA,alpagota,70898,3,128,F,18,19,21.5,25,25.5,25.6
fieno + conc. + CLA,alpagota,70909,4,114,M,18.6,18,20.5,24,25,25.4
fieno + conc. + CLA,alpagota,s.o.,4,139,M,32.6,35,37.5,42,41,42
pascolo,brogna,26156,3,112,M,20.2,23,25,29,34.5,34.3
pascolo,brogna,26160,3.55,106,F,17,20.5,22,25.5,28,27.8
pascolo,brogna,26164,3.85,93,M,15.8,19.5,23,28,33,33.2
pascolo,foza,26168,4,76,F,20.8,25,29,34.5,36.5,38.2
pascolo,foza,26169,4.15,73,M,19.2,23,25,30.5,34,34.6
pascolo,foza,26175,4,67,F,14.6,16.5,20,24.5,30,30.8
pascolo,alpagota,68315,4,141,F,24,25,25.5,30,31,30.8
pascolo,brogna,68329,4,138,F,32.4,34,35,37.5,38,37.6
pascolo,alpagota,68349,4,135,M,22.8,24,26,30,33,32.4
pascolo,foza,70878,4.5,113,M,27.2,29,31.5,37,40,40.8
pascolo,alpagota,70899,3,119,M,20.8,22.5,26.5,31,35,35.8
pascolo,alpagota,70914,4.2,132,F,17,19,23,28,31,31.6
