MATR	breed	herd	parity	milk	dim	CLDIM	fat	protein	cellu	casein	r	sh	ph
IT014TN003B016	BrownSwiss	1805639	7	15.6	266	6	4.08	3.84	1006	2.78	17.4	3.1	6.76
IT014TN003C020	BrownSwiss	1805639	6	26.4	151	4	3.57	3.58	510	2.72	15	2.58	6.8
IT022000032815	BrownSwiss	1805639	4	36.4	51	2	4.84	3.21	186	2.75	10.2	3.26	6.67
IT022000039390	BrownSwiss	1805639	3	32.9	185	5	4.4	3.53	714	2.71	16.2	3.05	6.78
IT022000039394	BrownSwiss	1805639	4	25.2	176	4	4.77	3.99	374	2.98	20.4	3.39	6.72
IT022000039417	BrownSwiss	1805639	4	34.9	35	1	3.42	3.21	44	2.69	12	3.16	6.74
IT022000089451	BrownSwiss	1805639	3	26.2	207	5	3.45	3.74	158	2.88	13.2	3.45	6.66
IT022000089456	BrownSwiss	1805639	4	30	31	1	3.16	3.25	1119	2.43	11	2.72	6.74
IT022000089457	BrownSwiss	1805639	3	25.3	181	5	3.81	3.61	62	2.8	10.4	3.39	6.65
IT022000089510	BrownSwiss	1805639	3	28.5	142	4	6.53	3.4	371	2.75	12.2	2.91	6.73
IT022000093948	BrownSwiss	1805639	2	22.1	240	6	4.71	4.09	134	3.07	15	3.3	6.72
IT022000093951	BrownSwiss	1805639	2	27.2	169	4	4.2	3.69	644	2.84	24	2.94	6.8
IT022000093975	BrownSwiss	1805639	2	21.1	272	7	5.16	4.08	191	3.25	14	2.87	6.75
IT022000093988	BrownSwiss	1805639	2	33	50	2	4.62	3.25	97	2.74	17.2	2.86	6.78
IT022000094004	BrownSwiss	1805639	2	18.6	197	5	4.36	3.83	205	2.93	16.4	3.5	6.7
IT022000094009	BrownSwiss	1805639	2	24.8	184	5	3.53	3.64	34	2.89	19.2	3.46	6.71
IT022000099200	BrownSwiss	1805639	2	33.6	74	2	4.4	3.14	290	2.6	14	2.98	6.73
IT022000099205	BrownSwiss	1805639	1	23.5	131	3	3.26	4.04	108	3.08	18	3.14	6.76
IT022000099218	BrownSwiss	1805639	2	31.2	34	1	3	3.38	1465	2.52	17.4	2.73	6.81
IT022000099225	BrownSwiss	1805639	2	28.2	60	2	2.37	3.11	88	2.43	15.2	3.07	6.76
IT022000099231	BrownSwiss	1805639	1	18.7	346	7	4.57	4.05	843	3.11	22.4	3.04	6.81
IT022000099233	BrownSwiss	1805639	1	26.6	276	7	3.46	3.65	129	2.76	17	3.04	6.78
IT022000099238	BrownSwiss	1805639	1	19.7	73	2	4.16	3.35	115	2.74	18.4	3.13	6.77
IT022000099251	BrownSwiss	1805639	2	36.5	15	1	3.86	3.25	18	2.41	11	3.12	6.68
IT022000099265	BrownSwiss	1805639	2	22.2	182	5	4.29	3.77	154	2.9	14.4	3.48	6.67
IT022000099282	BrownSwiss	1805639	2	28.6	53	2	3.43	3.21	35	2.45	13.4	2.8	6.74
IT022000247870	BrownSwiss	1805639	2	16.9	102	3	3.23	3.79	98	2.82	22.4	3.18	6.8
IT022000247872	BrownSwiss	1805639	2	26.4	156	4	4.26	4	56	3.11	19.2	3.52	6.72
IT022000248290	BrownSwiss	1805639	1	15.3	146	4	4.11	3.77	39	2.98	14.2	3.19	6.7
IT022000248291	BrownSwiss	1805639	1	22	28	1	3.11	3.25	41	2.84	14.2	3.21	6.7
IT022000248296	BrownSwiss	1805639	1	31	7	1	3.68	3.35	133	2.62	11.4	3.53	6.62
IT022990019296	BrownSwiss	1815705	2	23	250	6	4.3	3.7	129	2.85	11	3.33	6.68
