animal	group	age	bw
1	A	1	59
2	A	1	57
3	A	1	79
4	A	1	67
5	A	1	62
6	A	1	82
7	A	1	74
8	B	1	49
9	B	1	52
10	B	1	53
11	B	1	53
12	B	1	60
13	B	1	44
14	B	1	57
15	B	1	50
16	C	1	44
17	C	1	62
18	C	1	52
19	C	1	58
20	C	1	58
21	C	1	71
22	C	1	52
23	D	1	74
24	D	1	78
25	D	1	84
26	D	1	85
27	D	1	73
28	D	1	64
1	A	2	80
2	A	2	66
3	A	2	95
4	A	2	85
5	A	2	107
6	A	2	88
7	A	2	94
8	B	2	78
9	B	2	77
10	B	2	67
11	B	2	65
12	B	2	80
13	B	2	64
14	B	2	75
15	B	2	71
16	C	2	91
17	C	2	118
18	C	2	98
19	C	2	96
20	C	2	117
21	C	2	88
22	C	2	88
23	D	2	105
24	D	2	105
25	D	2	117
26	D	2	132
27	D	2	103
28	D	2	83
1	A	3	110
2	A	3	98
3	A	3	126
4	A	3	116
5	A	3	118
6	A	3	118
7	A	3	126
8	B	3	104
9	B	3	100
10	B	3	95
11	B	3	85
12	B	3	108
13	B	3	88
14	B	3	102
15	B	3	81
16	C	3	130
17	C	3	164
18	C	3	148
19	C	3	130
20	C	3	155
21	C	3	102
22	C	3	134
23	D	3	133
24	D	3	117
25	D	3	130
26	D	3	146
27	D	3	113
28	D	3	119
1	A	4	144
2	A	4	131
3	A	4	161
4	A	4	157
5	A	4	135
6	A	4	145
7	A	4	163
8	B	4	159
9	B	4	134
10	B	4	140
11	B	4	116
12	B	4	146
13	B	4	124
14	B	4	144
15	B	4	82
16	C	4	152
17	C	4	196
18	C	4	179
19	C	4	162
20	C	4	191
21	C	4	155
22	C	4	163
23	D	4	140
24	D	4	142
25	D	4	148
26	D	4	170
27	D	4	156
28	D	4	165
1	A	5	155
2	A	5	153
3	A	5	182
4	A	5	193
5	A	5	158
6	A	5	172
7	A	5	193
8	B	5	198
9	B	5	156
10	B	5	177
11	B	5	151
12	B	5	173
13	B	5	156
14	B	5	190
15	B	5	102
16	C	5	202
17	C	5	250
18	C	5	233
19	C	5	209
20	C	5	242
21	C	5	191
22	C	5	216
23	D	5	192
24	D	5	176
25	D	5	179
26	D	5	210
27	D	5	183
28	D	5	202
1	A	6	194
2	A	6	197
3	A	6	221
4	A	6	226
5	A	6	185
6	A	6	199
7	A	6	227
8	B	6	243
9	B	6	179
10	B	6	209
11	B	6	186
12	B	6	210
13	B	6	194
14	B	6	228
15	B	6	144
16	C	6	261
17	C	6	296
18	C	6	286
19	C	6	256
20	C	6	293
21	C	6	238
22	C	6	269
23	D	6	224
24	D	6	208
25	D	6	203
26	D	6	237
27	D	6	211
28	D	6	245
1	A	7	210
2	A	7	221
3	A	7	245
4	A	7	245
5	A	7	210
6	A	7	220
7	A	7	251
8	B	7	281
9	B	7	207
10	B	7	246
11	B	7	215
12	B	7	248
13	B	7	224
14	B	7	265
15	B	7	170
16	C	7	293
17	C	7	341
18	C	7	325
19	C	7	290
20	C	7	325
21	C	7	273
22	C	7	303
23	D	7	258
24	D	7	231
25	D	7	226
26	D	7	272
27	D	7	244
28	D	7	273
1	A	8	257
2	A	8	276
3	A	8	296
4	A	8	296
5	A	8	248
6	A	8	270
7	A	8	296
8	B	8	294
9	B	8	226
10	B	8	271
11	B	8	239
12	B	8	277
13	B	8	252
14	B	8	285
15	B	8	200
16	C	8	320
17	C	8	375
18	C	8	360
19	C	8	317
20	C	8	351
21	C	8	303
22	C	8	328
23	D	8	297
24	D	8	281
25	D	8	260
26	D	8	322
27	D	8	288
28	D	8	326
